id,evaluation_category_feedback_id,flag,question_category_id
200,977,0,11
201,1103,1,12
202,1104,0,12
203,1105,0,12
204,930,0,10
205,931,1,10
206,932,1,10
207,978,0,11
208,1106,0,12
209,857,1,9
210,1204,0,13
211,933,1,10
212,979,0,11
213,980,0,11
214,1107,0,12
215,981,0,11
216,1108,1,12
217,934,1,10
218,982,0,11
219,983,0,11
220,858,0,9
221,1205,1,13
222,935,1,10
223,984,0,11
224,985,1,11
225,1109,1,12
226,936,1,10
227,859,0,9
228,986,0,11
229,860,1,9
230,861,1,9
231,1206,0,13
232,937,0,10
233,708,0,8
234,1110,0,12
235,987,1,11
236,1111,1,12
237,938,0,10
238,862,0,9
239,863,0,9
240,864,0,9
241,709,1,8
242,1112,1,12
243,988,0,11
244,1113,1,12
245,1114,0,12
246,865,0,9
247,989,1,11
248,866,0,9
249,939,0,10
250,710,1,8
251,1115,1,12
252,1116,1,12
253,940,0,10
254,990,0,11
255,991,0,11
256,1207,0,13
257,711,1,8
258,992,1,11
259,1117,1,12
260,993,0,11
261,1118,0,12
262,941,1,10
263,994,1,11
264,867,0,9
265,942,0,10
266,943,0,10
267,712,1,8
268,1208,1,13
269,1119,1,12
270,868,0,9
271,995,0,11
272,944,0,10
273,713,1,8
274,869,1,9
275,945,1,10
276,1120,0,12
277,1121,0,12
278,996,0,11
279,997,1,11
280,946,0,10
281,714,0,8
282,947,1,10
283,715,1,8
284,716,0,8
285,948,1,10
286,949,0,10
287,870,0,9
288,950,0,10
289,871,1,9
290,951,0,10
291,717,1,8
292,952,1,10
293,1122,0,12
294,953,0,10
295,1123,1,12
296,998,0,11
297,872,0,9
298,954,1,10
299,955,0,10
300,718,0,8
301,1124,0,12
302,956,1,10
303,1209,0,13
304,999,1,11
305,719,1,8
306,720,0,8
307,1125,1,12
308,873,0,9
309,721,0,8
310,1126,1,12
311,722,1,8
312,1127,0,12
313,1000,0,11
314,723,1,8
315,957,1,10
316,874,1,9
317,1128,0,12
318,724,1,8
319,1129,0,12
320,1001,0,11
321,875,0,9
322,876,1,9
323,877,0,9
324,725,1,8
325,726,0,8
326,1002,1,11
327,727,0,8
328,878,0,9
329,958,0,10
330,879,1,9
331,728,0,8
332,1130,1,12
333,1131,1,12
334,729,1,8
335,1132,0,12
336,1133,1,12
337,1134,0,12
338,1135,1,12
339,730,1,8
340,1003,1,11
341,880,0,9
342,731,1,8
343,1136,0,12
344,732,1,8
345,959,0,10
346,733,1,8
347,1137,0,12
348,1138,1,12
349,881,1,9
350,1139,1,12
351,734,0,8
352,735,1,8
353,882,1,9
354,883,0,9
355,736,0,8
356,1140,0,12
357,960,0,10
358,884,0,9
359,1004,1,11
360,737,1,8
361,1141,0,12
362,885,1,9
363,886,0,9
364,1005,1,11
365,887,0,9
366,1006,1,11
367,888,0,9
368,889,1,9
369,890,1,9
370,891,0,9
371,961,0,10
372,892,0,9
373,893,0,9
374,1007,0,11
375,1142,0,12
376,1008,0,11
377,894,0,9
378,1143,1,12
379,738,0,8
380,633,0,7
381,895,1,9
382,896,1,9
383,634,1,7
384,739,1,8
385,1144,1,12
386,740,1,8
387,741,0,8
388,742,0,8
389,743,0,8
390,1009,1,11
391,1010,0,11
392,744,0,8
393,1145,0,12
394,745,1,8
395,897,0,9
396,1146,0,12
397,1011,0,11
398,635,1,7
399,746,0,8
400,747,0,8
401,748,1,8
402,749,1,8
403,750,0,8
404,1147,0,12
405,751,0,8
406,898,0,9
407,1012,1,11
408,752,0,8
409,1148,0,12
410,753,1,8
411,754,1,8
412,1013,0,11
413,755,1,8
414,1149,0,12
415,1150,0,12
416,1014,0,11
417,756,0,8
418,757,0,8
419,1015,0,11
420,1016,1,11
421,758,1,8
422,1151,1,12
423,759,1,8
424,899,0,9
425,1152,0,12
426,636,0,7
427,760,1,8
428,761,0,8
429,762,1,8
430,1017,0,11
431,1018,0,11
432,763,0,8
433,1153,1,12
434,1154,0,12
435,764,1,8
436,1155,1,12
437,765,0,8
438,766,0,8
439,1019,0,11
440,1020,1,11
441,767,1,8
442,1156,1,12
443,1021,0,11
444,637,0,7
445,768,0,8
446,769,0,8
447,770,1,8
448,1022,0,11
449,771,0,8
450,1157,1,12
451,1023,0,11
452,638,1,7
453,772,1,8
454,1158,1,12
455,773,0,8
456,774,0,8
457,775,0,8
458,776,0,8
459,777,1,8
460,900,1,9
461,1159,1,12
462,1024,1,11
463,639,1,7
464,1160,1,12
465,778,1,8
466,779,1,8
467,780,1,8
468,1025,1,11
469,1026,0,11
470,781,0,8
471,1161,1,12
472,1027,0,11
473,640,0,7
474,782,0,8
475,783,0,8
476,784,0,8
477,1028,1,11
478,785,1,8
479,1162,0,12
480,901,1,9
481,1163,0,12
482,1164,0,12
483,786,1,8
484,787,1,8
485,1165,1,12
486,902,0,9
487,641,1,7
488,788,0,8
489,1029,0,11
490,1030,1,11
491,1166,1,12
492,1031,0,11
493,642,1,7
494,1167,1,12
495,789,0,8
496,1032,0,11
497,1033,1,11
498,1168,1,12
499,1034,0,11
500,643,0,7
501,790,1,8
502,1035,1,11
503,791,0,8
504,1169,0,12
505,903,0,9
506,1036,1,11
507,792,1,8
508,793,1,8
509,794,0,8
510,795,0,8
511,796,0,8
512,1170,0,12
513,1037,1,11
514,644,1,7
515,797,0,8
516,798,0,8
517,1038,1,11
518,1171,1,12
519,799,0,8
520,1172,0,12
521,645,0,7
522,1173,1,12
523,800,0,8
524,1039,1,11
525,1040,0,11
526,1174,1,12
527,904,1,9
528,646,0,7
529,801,0,8
530,1175,1,12
531,802,0,8
532,1041,1,11
533,803,1,8
534,1176,1,12
535,1177,0,12
536,804,0,8
537,805,0,8
538,806,1,8
539,1042,1,11
540,807,0,8
541,1178,0,12
542,1043,1,11
543,647,1,7
544,808,1,8
545,1179,1,12
546,1044,1,11
547,648,0,7
548,1045,0,11
549,809,1,8
550,1180,0,12
551,1046,0,11
552,1047,1,11
553,649,1,7
554,810,0,8
555,1181,1,12
556,1048,1,11
557,1049,0,11
558,811,0,8
559,1182,1,12
560,1183,1,12
561,1050,0,11
562,1051,1,11
563,1052,1,11
564,812,0,8
565,1184,0,12
566,1053,1,11
567,1054,1,11
568,813,0,8
569,814,0,8
570,650,0,7
571,1185,1,12
572,905,1,9
573,1186,0,12
574,1187,1,12
575,1055,0,11
576,1056,1,11
577,651,0,7
